12/09/2016 17:15:39: Starting 
12/09/2016 18:32:00: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:32:30: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:33:01: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:33:32: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:34:02: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016humid.py:11: RuntimeWarning: This channel is already in use, continuing anyway.  Use GPIO.setwarnings(False) to disable warnings.
  GPIO.setup(13, GPIO.OUT)
12/09/2016 21:30:19: Starting 
12/09/2016 21:30:20: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 21:30:50: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:31:21: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:31:51: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:32:22: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:32:55: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:33:25: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:33:56: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:34:27: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:34:57: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:35:28: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:35:58: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:36:29: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:37:02: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:37:32: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:38:03: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:38:36: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:39:09: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:39:40: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:40:10: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:40:41: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:41:11: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:41:42: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:42:12: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:42:43: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:43:14: Temp: 19.0 C  Humidity: 95.0 % 
